Season,Player,Nationality,Club,Clean sheets
2004–05,Petr Čech, Czech Republic,Chelsea,24
2005–06,Pepe Reina , Spain,Liverpool,20
2006–07,Pepe Reina, Spain,Liverpool,19
2007–08,Pepe Reina, Spain,Liverpool,18
2008–09,Edwin van der Sar, Netherlands,Manchester United,21
2009–10,Petr Čech, Czech Republic,Chelsea,17
2010–11,Joe Hart, England,Manchester City,18
2011–12,Joe Hart, England,Manchester City,17
2012–13,Joe Hart, England,Manchester City,18
2013–14,Petr Čech, Czech Republic,Chelsea,16
2013–14,Wojciech Szczęsny, Poland,Arsenal,16
2014–15,Joe Hart, England,Manchester City,14
2015–16,Petr Čech, Czech Republic,Arsenal,16
2016–17,Thibaut Courtois, Belgium,Chelsea,16
2017–18,David de Gea, Spain,Manchester United,18
2018–19,Alisson, Brazil,Liverpool,21
2019–20,Ederson, Brazil,Manchester City,16
2020–21,Ederson, Brazil,Manchester City,19
2021–22,Alisson, Brazil,Liverpool,20
2021–22,Ederson, Brazil,Manchester City,20
2022–23,David de Gea, Spain,Manchester United,17
2023–24,David Raya, Spain,Arsenal,16
2024–25,David Raya, Spain,Arsenal,13
2024–25,Matz Sels, Belgium,Nottingham Forest,13
